ID,DESCRIPTION,LITHOLOGY
2538,red sand & gravel,SAND AND GRAVEL
2539,yellow sand & clay,CLAY AND SAND
2540,rock ledge,BEDROCK
2541,silty clay (CL),CLAY
2542,Gray silty shale,BEDROCK
2543,Partlow Upper,BEDROCK
2544,Survant Coal,BEDROCK
2545,soft rock,BEDROCK
2546,gravel & water,GRAVEL
2547,gray shale soft,BEDROCK
2548,coal                ,BEDROCK
2549,reddish brown clay,CLAY
2550,coarse sand to medium gravel,SAND AND GRAVEL
2551,Levias,BEDROCK
2552,mucky sand,CLAY AND SAND
2553,fill & black dirt,FILL
2554,brown silty sand,SILT AND SAND
2555,gray,UNKNOWN
2556,coarse red sand,SAND
2557,medium sand fine gravel,SAND AND GRAVEL
2558,"clay, gray, sandy",CLAY AND SAND
2559,silty clay brown mottled trace sand,CLAY AND SAND
2560,clay (gray),CLAY
2561,multicolor gravel,GRAVEL
2562,blue slate,BEDROCK
2563,"drift, gray",CLAY AND SAND
2564,topsoil sand,SOIL
2565,dark limestone,BEDROCK
2566,Hard Pan,CLAY AND SAND
2567,soft black clay organic (wet) A-7-5,ORGANIC MATERIAL
2568,Unnamed Coal 404,BEDROCK
2569,sand medium to coarse,SAND
2570,sandstone water,BEDROCK
2571,Very stiff gray clay,CLAY
2572,Miscellaneous fill,FILL
2573,no record to,UNKNOWN
2574,pit,VOID
2575,sandy,UNKNOWN
2576,white lime rock,BEDROCK
2577,slate gray,BEDROCK
2578,soft green shale,BEDROCK
2579,Shale,BEDROCK
2580,medium fine gray sand,SAND
2581,"gravel, broken limestone",GRAVEL
2582,topsoil & yellow clay,SOIL
2583,Fill,FILL
2584,hard gravel,GRAVEL
2585,Fine grey sand,SAND
2586,very sandy clay,CLAY AND SAND
2587,clay gray soft,CLAY
2588,light sandstone,BEDROCK
2589,hard black shale,BEDROCK
2590,black sand,SAND
2591,Galena dolomite,BEDROCK
2592,clay gray hard,CLAY
2593,gray sandrock,BEDROCK
2594,lime brown,UNKNOWN
2595,Yellow Clay,CLAY
2596,drift sand,SAND
2597,"red clay, sand",SAND
2598,gummy brown clay,CLAY
2599,soil yellow clay,SOIL
2600,sandy drift,CLAY AND SAND
2601,subsoil,SOIL
2602,sand & large gravel,SAND AND GRAVEL
2603,sandstone light gray,BEDROCK
2604,Casey,BEDROCK
2605,limestone broken,BEDROCK
2606,Cedar Valley,BEDROCK
2607,Clay bed (Spechts Ferry),BEDROCK
2608,gray sand & clay,CLAY AND SAND
2609,dark gray silty clay,CLAY
2610,gravel & broken rock,GRAVEL
2611,sandstone at,BEDROCK
2612,gravel & broken limestone,GRAVEL
2613,clay/gravel,CLAY AND GRAVEL
2614,Black Soil,SOIL
2615,stiff mottled silty clay,CLAY
2616,"sand, white",UNKNOWN
2617,clay gray silty,CLAY
2618,bank run gravel,GRAVEL
2619,runny sand,SAND
2620,Robinson Middle,BEDROCK
2621,topsoil & fill,SOIL
2622,very stiff gray clay,CLAY
2623,Dekoven Coal Upper,BEDROCK
2624,gray silty clay loam,CLAY AND SAND
2625,see boring files,UNKNOWN
2626,Overburden: fill and glacial drift,FILL
2627,Dekoven Coal Lower,BEDROCK
2628,earth & clay,CLAY
2629,brown and gray clay,CLAY
2630,"clay, sand, gravel",CLAY AND GRAVEL
2631,med to coarse sand,SAND
2632,yellow sand and gravel,SAND AND GRAVEL
2633,gray lime & shale,BEDROCK
2634,brown coarse sand,SAND
2635,"clay, blue, sandy",CLAY
2636,sandy pink clay,CLAY
2637,#5 coal,BEDROCK
2638,hardpan gravel,CLAY AND GRAVEL
2639,fat clay,CLAY
2640,gray shaley limestone,BEDROCK
2641,gray sandy gravel,SAND AND GRAVEL
2642,sand & clay mix,CLAY AND SAND
2643,sand at,UNKNOWN
2644,limestone with shale streaks,BEDROCK
2645,medium-coarse sand,SAND
2646,sand & blue clay,CLAY
2647,water encountered,UNKNOWN
2648,sandy top soil,SOIL
2649,yellow soft clay,CLAY
2650,gray stoney clay,CLAY AND GRAVEL
2651,Green and gray shale,BEDROCK
2652,clay gray & brown,CLAY
2653,siltstone,BEDROCK
2654,sand with clay,CLAY AND SAND
2655,Seelyville,BEDROCK
2656,water bearing sand,UNKNOWN
2657,dark lime,UNKNOWN
2658,clay - blue,CLAY
2659,medium gray fine sand,SAND
2660,fine sand to coarse gravel,SAND AND GRAVEL
2661,fine med sand,SAND
2662,dark gray lime,UNKNOWN
2663,sandstone hard,BEDROCK
2664,Very soft blue clay,CLAY
2665,fill clay,FILL
2666,clay black,CLAY
2667,stiff gray clay,CLAY
2668,sand & gray clay,CLAY AND SAND
