ID,DESCRIPTION,LITHOLOGY
2669,medium sand - medium gravel,SAND AND GRAVEL
2670,"sand, red",UNKNOWN
2671,sand brown fine,SAND
2672,"clay, yellow, sandy",CLAY AND SAND
2673,clay & rock,CLAY AND GRAVEL
2674,"sand, hard",BEDROCK
2675,hard sandy clay,CLAY AND SAND
2676,very stiff brown silty clay,CLAY
2677,flint,BEDROCK
2678,Asphaltic concrete,FILL
2679,sandy sh,BEDROCK
2680,loose sand,SAND
2681,Tough yellow + blue clay.,CLAY
2682,green sand,UNKNOWN
2683,McClosky B,BEDROCK
2684,grey limestone,BEDROCK
2685,layered shale,BEDROCK
2686,sandstone soft,BEDROCK
2687,light sandy shale,BEDROCK
2688,Kimmswick,BEDROCK
2689,rocky clay,CLAY AND GRAVEL
2690,yellow clay - sand,CLAY AND SAND
2691,limestone hard,BEDROCK
2692,Saverton,BEDROCK
2693,void,VOID
2694,sand & coarse gravel,SAND AND GRAVEL
2695,gummy gray clay,CLAY
2696,gray Silurian,BEDROCK
2697,tan hard limestone,BEDROCK
2698,hard pebbly gray clay till,CLAY AND GRAVEL
2699,brown sandy loam,CLAY AND SAND
2700,sticky shale,BEDROCK
2701,Gray sandy shale,BEDROCK
2702,Millersville,BEDROCK
2703,medium brown silty clay,CLAY
2704,gray rock & shale,BEDROCK
2705,soft gray lime,UNKNOWN
2706,dirty fine sand,SAND
2707,silty clay brown,CLAY
2708,hard,UNKNOWN
2709,gravel and clay,CLAY AND GRAVEL
2710,soft brown silty clay loam (moist) A-6,CLAY AND SAND
2711,soft coal,BEDROCK
2712,Chester,BEDROCK
2713,pink clay & gravel,CLAY AND GRAVEL
2714,earth,SOIL
2715,soil brown,SOIL
2716,gray rocky clay,CLAY AND GRAVEL
2717,"sand, brown",UNKNOWN
2718,rotten rock,BEDROCK
2719,CORE LOSS,UNKNOWN
2720,dirt & sand,CLAY AND SAND
2721,brown sand and gravel,SAND AND GRAVEL
2722,stiff brown silty clay loam (moist) A-6,CLAY AND SAND
2723,soft dark brown clay organic (moist) A-7-5,ORGANIC MATERIAL
2724,gray clay hardpan,CLAY AND SAND
2725,gray clay gravel,CLAY AND GRAVEL
2726,soft sandy blue clay,CLAY AND SAND
2727,brown and gray clayey silt,SILT
2728,green limestone,BEDROCK
2729,yellow-brown clay,CLAY
2730,limestone shaley,BEDROCK
2731,red limestone,BEDROCK
2732,grey shale,BEDROCK
2733,fine sand to medium gravel,SAND AND GRAVEL
2734,gray weathered shale,BEDROCK
2735,sand dirty,UNKNOWN
2736,gray hard shale,BEDROCK
2737,"clay, gray, smooth",CLAY
2738,dense fine gray sand,SAND
2739,yellow clay sandy,CLAY AND SAND
2740,yellow clay gravel,CLAY AND GRAVEL
2741,sand (brown),UNKNOWN
2742,limestone shelf,BEDROCK
2743,gray clay tr s & g,CLAY AND GRAVEL
2744,blue gray clay,CLAY
2745,yellow sand clay,CLAY AND SAND
2746,sand & boulders,BOULDER
2747,"very stiff, gray silty clay (till)",CLAY AND SAND
2748,gray sand rock,BEDROCK
2749,gravel medium,GRAVEL
2750,clay w/ gravel,CLAY AND GRAVEL
2751,t.d.,UNKNOWN
2752,large gravel & sand,SAND AND GRAVEL
2753,water-gravel,GRAVEL
2754,clay gray at,CLAY
2755,dark sand,UNKNOWN
2756,hard pink clay,CLAY
2757,medium gray shale,BEDROCK
2758,ls,BEDROCK
2759,blue clay,CLAY
2760,Benoist,BEDROCK
2761,Bethel,BEDROCK
2762,Bridgeport,BEDROCK
2763,Maquoketa,BEDROCK
2764,brown clay & stones,DIRT AND BEDROCK
2765,white rock,BEDROCK
2766,St. Peter sandstone,BEDROCK
2767,"shale, light",BEDROCK
2768,brown clay & gravel,CLAY AND GRAVEL
2769,shale & lime,BEDROCK
2770,"shale, sandy",BEDROCK
2771,St. Peter,BEDROCK
2772,"shale, black",BEDROCK
2773,shale & limestone,BEDROCK
2774,Burlington Lime,BEDROCK
2775,blue clay & sand,CLAY AND SAND
2776,brown fine sand,SAND
2777,shale light gray,BEDROCK
2778,"slate, dark",BEDROCK
2779,shale black,BEDROCK
2780,12-15 slot sand,SAND
2781,blue hardpan,CLAY
2782,blue clay & shale,DIRT AND BEDROCK
2783,"lime, gray",BEDROCK
2784,shale gray sandy,BEDROCK
2785,black clayey topsoil,SOIL
2786,"limestone, gray",BEDROCK
2787,shale & rock,BEDROCK
2788,shale & sandstone,BEDROCK
2789,shale & sand,DIRT AND BEDROCK
2790,Brown dolomitic lime,BEDROCK
2791,blue limestone,BEDROCK
2792,bedrock,BEDROCK
2793,shale red,BEDROCK
2794,blue clay at,CLAY
2795,asphalt,FILL
2796,shale dark gray,BEDROCK
2797,Maquoketa shale,BEDROCK
2798,blue sand,SAND
2799,shaley sandrock,BEDROCK
2800,St. Peter sand,BEDROCK
2801,black peat,ORGANIC MATERIAL
2802,brown & gray clay,CLAY
2803,shale rock,BEDROCK
2804,shale dark,BEDROCK
2805,brown hardpan,DIRT
2806,broken yellow limestone,BEDROCK
2807,"lime, brown",BEDROCK
2808,"lime, hard",BEDROCK
2809,blue sand & gravel,SAND AND GRAVEL
2810,shale blue,BEDROCK
2811,brown & gray silty clay,CLAY
2812,"shale, brown",BEDROCK
2813,brown clayey silt,SILT
2814,brown clay & sand,CLAY AND SAND
2815,"black clayey topsoil, moist",SOIL
2816,shaley sand,DIRT AND BEDROCK
2817,Burlington-Keokuk,BEDROCK
2818,"shale, red",BEDROCK
2819,"till, calcareous, gray",CLAY AND GRAVEL  MIX
2820,"slate, gray",BEDROCK
2821,blue gray limestone,BEDROCK
2822,boulders & gravel,DIRT AND BEDROCK
2823,15-20 slot sand,SAND
2824,St Peter,BEDROCK
2825,bedrock at,BEDROCK
2826,blue rock,BEDROCK
2827,shale & shells,BEDROCK
2828,"lime, gray, hard",BEDROCK
2829,shale sandy,BEDROCK
2830,"rock, dark",BEDROCK
2831,sand & gravel gray,SAND AND GRAVEL
2832,"blue clay, some pebbles",CLAY AND GRAVEL
2833,Brereton,BEDROCK
2834,shaley lime,BEDROCK
2835,"lime, white",BEDROCK
2836,"shale, dark gray",BEDROCK
2837,shale green,BEDROCK
2838,sand & gravel brown,SAND AND GRAVEL
2839,brown medium sand,SAND
2840,sand & gravel fine,SAND AND GRAVEL
2841,"blue clay, gravel",CLAY AND GRAVEL
2842,shale brown,BEDROCK
2843,blue clay gravel,CLAY AND GRAVEL
2844,Bankston Fork,BEDROCK
2845,blue lime,BEDROCK
2846,"slate, light",BEDROCK
2847,shaley sandstone,BEDROCK
2848,"shale, light gray",BEDROCK
2849,shaley limestone,BEDROCK
2850,"slate, blue",BEDROCK
2851,"limestone, white",BEDROCK
2852,shale and sand,DIRT AND BEDROCK
2853,"shale, light, sand",BEDROCK
2854,shale and lime,BEDROCK
2855,blue clay-gravel,CLAY AND GRAVEL
2856,brown clay & rocks,CLAY AND GRAVEL
2857,blue clay sandy,CLAY AND SAND
2858,brown & gray limestone,BEDROCK
2859,"shale, soft",BEDROCK
2860,blue clay & gravel mix,CLAY AND GRAVEL
2861,"shale, green",BEDROCK
2862,shale (gray),BEDROCK
2863,15 slot sand,SAND
2864,Burlington lime,BEDROCK
2865,"blue clay, sandy",CLAY WITH SAND STREAKS
2866,shale-gray,BEDROCK
2867,"limestone, brown",BEDROCK
2868,"limestone, hard",BEDROCK
2869,broken rock & clay,DIRT AND BEDROCK
2870,broken lime & shale,BEDROCK
2871,Benoist Lower,BEDROCK
2872,sand & gravel coarse,SAND AND GRAVEL
2873,broken sand,BEDROCK
2874,"shale,gray",BEDROCK
2875,sand & gravel yellow,SAND AND GRAVEL
2876,Benoist Upper,BEDROCK
2877,"shale, gray, sandy",BEDROCK
2878,shale gray soft,BEDROCK
2879,"lime, broken",BEDROCK
2880,brown & gray lime,BEDROCK
2881,Beech Creek,BEDROCK
2882,broken limestone & gravel,DIRT AND BEDROCK
2883,brown sand & clay,CLAY AND SAND
2884,"shale gray, sandy",BEDROCK
2885,Briar Hill Coal #5A,BEDROCK
2886,broken limestone & clay,DIRT AND BEDROCK
2887,blue clay some pebbles,CLAY AND GRAVEL
2888,brown clay sandy,CLAY AND SAND
2889,sand & gravel mix,SAND AND GRAVEL
2890,"sandstone, gray",BEDROCK
2891,shale & coal,BEDROCK
2892,sand & gravel (water),SAND AND GRAVEL
2893,brown clay loam,CLAY AND SAND
2894,"shale,blue",BEDROCK
2895,brown limestone broken,BEDROCK
2896,black coal,BEDROCK
2897,brn till,CLAY AND SAND
2898,"shale, sand",BEDROCK
2899,shale light,BEDROCK
2900,shale soft,BEDROCK
2901,"shale light gray, sandy",BEDROCK
2902,"lime, sandy",BEDROCK
2903,brown & gray silt,SILT
2904,boulders & clay,DIRT AND BEDROCK
2905,blue clay soft,CLAY
2906,blue hardpan clay,CLAY
2907,"limestone, sandy",BEDROCK
2908,shale & gravel,DIRT AND BEDROCK
2909,St Peter sandstone,BEDROCK
2910,shale & lime shells,BEDROCK
2911,broken rock & shale,BEDROCK
2912,shale below,BEDROCK
2913,blue clay with gravel,CLAY AND GRAVEL
2914,shale hard,BEDROCK
2915,"slate, block",BEDROCK
2916,driftwood,ORGANIC MATERIAL
2917,blue clay and gravel,CLAY AND GRAVEL
2918,blue sandy shale,BEDROCK
2919,Black shale,BEDROCK
2920,"medium dense, gray silt",SILT
2921,"clay, sand",CLAY AND SAND
2922,soft blue sandrock,BEDROCK
2923,topsoil clay sand,SOIL
2924,to rock,BEDROCK
2925,clay gray & sand,CLAY AND SAND
2926,yellow soapstone,BEDROCK
2927,blue soft clay,CLAY
2928,broken rock & gravel,DIRT AND BEDROCK
2929,gray clay with streaks of gravel,CLAY WITH GRAVEL
2930,"limestone, blue",BEDROCK
2931,Very stiff gray clay (till),CLAY
2932,brown,UNKNOWN
2933,blk topsoil,SOIL
2934,stoney gray clay,CLAY AND GRAVEL
2935,light gray sandy shale,BEDROCK
2936,gravel & blue clay,CLAY AND GRAVEL
2937,No 7 Coal,BEDROCK
2938,black & white shale,BEDROCK
2939,limestone white hard,BEDROCK
2940,coarse gravel & sand,SAND AND GRAVEL
2941,Sub base (fill),FILL
2942,fill & clay,FILL
2943,brown & white limestone,BEDROCK
2944,green drift,DIRT
2945,greenish clay,CLAY
2946,Aux Vases Sand Lower,BEDROCK
2947,dense brown sand & gravel (moist) A-1-b,SAND AND GRAVEL
2948,s&g,SAND AND GRAVEL
2949,bouldery gravel,BOULDER
2950,"clay,gray,medium",CLAY
2951,clay & rocks,CLAY AND GRAVEL
2952,gravel & rocks,DIRT AND BEDROCK
2953,shale with lime streaks,BEDROCK
2954,"sand, gravel, clay",SAND AND GRAVEL
2955,clay with gravel streaks,CLAY WITH GRAVEL
2956,shale & sandy shale,BEDROCK
2957,gray sandstone & shale,BEDROCK
2958,soft brown sandstone,BEDROCK
2959,black shale         ,BEDROCK
2960,"sand, clay",CLAY AND SAND
2961,soft yellow limestone,BEDROCK
2962,Tough yellow & blue clay,CLAY
2963,bk dirt,DIRT
2964,packed sand,SAND
2965,wood,ORGANIC MATERIAL
2966,hard pebbly gray silty clay till,CLAY AND GRAVEL
2967,missing,UNKNOWN
2968,sand-fine,SAND
2969,Springville,BEDROCK
2970,yellow gray clay,CLAY
2971,Black Dirt,DIRT
2972,gray sand fine to coarse,SAND
2973,Mount Rorah Coal,BEDROCK
2974,sand gravel & clay,CLAY AND GRAVEL
2975,blue clay - gravel,CLAY AND GRAVEL
2976,clay-yellow-hard,CLAY
2977,"sandstone, white",BEDROCK
2978,silty clay mottled gray trace sand,CLAY AND SAND
2979,clay & stone,DIRT AND BEDROCK
2980,"Hard gray silty clay, occasional sand & pebbles",CLAY AND GRAVEL
2981,light blue shale,BEDROCK
2982,gray & brown lime,BEDROCK
2983,black limestone,BEDROCK
2984,gray shale & lime,BEDROCK
2985,medium gray silty clay,CLAY
2986,crevice,VOID
2987,Clay,CLAY
2988,clayey silt (ML),SILT
2989,Murphysboro Coal,BEDROCK
2990,8-10 slot sand,SAND
2991,Overburden: glacial drift,DIRT
2992,Blocher,BEDROCK
2993,gray water sand,UNKNOWN
2994,hard brown shale,BEDROCK
2995,Tradewater,BEDROCK
2996,shale - gray,BEDROCK
2997,"shale, lime",BEDROCK
2998,gray & yellow clay,BEDROCK
2999,"Gray silty clay loam, A-6",CLAY AND SAND
3000,gray clay & sand streaks,CLAY WITH SAND STREAKS
3001,"very stiff, gray clay",CLAY
3002,gray clay - sand,CLAY AND SAND
3003,Burlington limestone,BEDROCK
3004,limestone and shale,BEDROCK
3005,gray & brown clay,CLAY
3006,layered gray sand & gray gravelly clay,CLAY AND GRAVEL
3007,gray hard clay,CLAY
3008,Black silty clay,CLAY
3009,mixed shale,BEDROCK
3010,"gray sand, fine",SAND
3011,clay hardpan,CLAY
3012,gravel fine,GRAVEL
3013,Aux Vases Sand Upper,BEDROCK
3014,blue gray shale,BEDROCK
3015,white sand rock,BEDROCK
3016,limestone & clay,BEDROCK
3017,Very fine grey sand,SAND
3018,limestone soft,BEDROCK
3019,False Barlow,BEDROCK
3020,"clay, sandy, gray",CLAY AND SAND
3021,red clay-sand,CLAY AND SAND
3022,clay & drift,CLAY AND GRAVEL
3023,gray rock w/shale,BEDROCK
3024,tan sandstone,BEDROCK
3025,"limestone, broken",BEDROCK
3026,gray hard limestone,BEDROCK
3027,Devonian Middle,BEDROCK
3028,sandrock gray,BEDROCK
3029,Very hard blue clay.,CLAY
3030,Very stiff to hard gray silty clay loam,CLAY AND SAND
3031,brown sandy silty clay,CLAY AND SAND
3032,Clear Creek,BEDROCK
3033,limestone dark gray,BEDROCK
3034,sandy clay loam,CLAY AND SAND
3035,brown gray clay,CLAY
3036,white & gray limestone,BEDROCK
3037,Lime,BEDROCK
3038,blue gray lime,BEDROCK
3039,Alto,BEDROCK
3040,clay sand gravel,CLAY WITH GRAVEL
3041,gray sand & gravel & water,SAND AND GRAVEL
3042,gray gravel & sand,SAND AND GRAVEL
3043,St Clair,BEDROCK
3044,brown soil,SOIL
3045,organic silt,SILT
3046,blue sandstone,BEDROCK
3047,"till,calcareous,gray",DRIFT
3048,brown clay till,DRIFT
3049,brown limestone (Galena),BEDROCK
3050,limestone (gray),BEDROCK
3051,Red and gray shale,BEDROCK
3052,very stiff mottled silty clay,CLAY
3053,gravel & stones,GRAVEL WITH BOULDERS
3054,light sand rock,BEDROCK
3055,"sand, dirty",UNKNOWN
3056,Gravel,GRAVEL
3057,Renault Middle,BEDROCK
3058,fine-med sand,SAND
3059,brownish gray clay,CLAY
3060,limestone & shale mix,BEDROCK
3061,silt & sand,SILT AND SAND
3062,clay      ,CLAY
3063,"clay gray, silty",CLAY
3064,green sandstone,BEDROCK
3065,lake sand,SAND
3066,"Very tough gray silty clay, trace sand & pebbles",
3067,"sand, gravel & boulders",SAND AND GRAVEL
3068,gray clay trace sand and gravel,CLAY WITH SAND
3069,Ordovician,BEDROCK
3070,sand hard,BEDROCK
3071,medium sand medium gravel,SAND AND GRAVEL
3072,brown clay hardpan,CLAY
3073,med coarse sand,SAND
3074,sand & soft clay,CLAY AND SAND
3075,fine coarse sand,SAND
3076,dark brown clayey topsoil,SOIL
3077,very stiff brown clay,CLAY
3078,medium sand - fine gravel,SAND AND GRAVEL
3079,clay-gravel,CLAY AND GRAVEL
3080,sandy gray clay & gravel,CLAY AND GRAVEL
3081,Kankakee,BEDROCK
3082,sand & gravel with clay,SAND AND GRAVEL
3083,"shale, white",BEDROCK
3084,rock shelf,BEDROCK
3085,stiff mottled clay,CLAY
3086,medium to fine sand,SAND
3087,fine to coarse gravel,GRAVEL
3088,clay-grey-medium,CLAY
3089,fine to coarse gray sand,SAND
3090,cemented sand & gravel,SAND AND GRAVEL
3091,total depth,UNKNOWN
3092,sand & some gravel,SAND AND GRAVEL
3093,clay light gray,CLAY
3094,limestone           ,BEDROCK
3095,"stiff to very stiff, gray clay",CLAY
3096,Dirty sand,SAND WITH CLAY
3097,weathered bedrock,BEDROCK
3098,"slate, white",BEDROCK
3099,shale with coal,BEDROCK
3100,medium gray silt,SILT
3101,Pottsville,BEDROCK
3102,"sand, medium",SAND
3103,Stiff Blue Clay,CLAY
3104,streaks of gravel,CLAY WITH GRAVEL
3105,"rock, gray",BEDROCK
3106,broken rock-gravel,GRAVEL AND STONE
3107,clay - gravel,CLAY AND GRAVEL
3108,Illinoian,DRIFT
3109,gray sticky clay,CLAY
3110,clay & topsoil,DIRT
3111,clay sand & gravel,CLAY AND GRAVEL
3112,15-40 slot sand,SAND
3113,cinders,ORGANIC MATERIAL
3114,dirty yellow sand,SAND
3115,gray sand-gravel,SAND AND GRAVEL
3116,fine clean sand,SAND
3117,brown earth,SOIL
3118,grey sand,SAND
3119,gray silty loam,DIRT
3120,gray sand (water),SAND
3121,tan sand & gravel,SAND AND GRAVEL
3122,Patoka,BEDROCK
3123,lime white,BEDROCK
3124,Tough yellow + blue clay,CLAY
3125,black earth,SOIL
3126,gray shale & sandstone,BEDROCK
3127,very stiff gray clay (till),CLAY
3128,gray clay with sand streaks,CLAY WITH SAND STREAKS
3129,soft sandy shale,BEDROCK
3130,shale & sandrock,BEDROCK
3131,"Very stiff, gray silty clay (till)",DRIFT
3132,shale with lime,BEDROCK
3133,Black earth.,SOIL
3134,gray fine to coarse sand,SAND
3135,Very stiff gray silty clay loam,DIRT
3136,clay (CL),CLAY
3137,"lime, brown, hard",BEDROCK
3138,medium dense brown sand (moist) A-3,SAND
3139,hardpan sand & gravel,SAND AND GRAVEL
3140,gravel      ,GRAVEL
3141,limestone with shale layers,BEDROCK
3142,"shale, clay",BEDROCK
3143,shale gray hard,BEDROCK
3144,Dolomite,BEDROCK
3145,gray firm shale,BEDROCK
3146,sand & gravel dirty,SAND AND GRAVEL
3147,gravelly brown clay,CLAY WITH GRAVEL
3148,dense gray fine sand,SAND
3149,red lime,BEDROCK
3150,"Very tough gray silty clay, occasional sand & pebbles",CLAY WITH GRAVEL SEAMS
3151,"yellow sand, gravel",SAND AND GRAVEL
3152,Spar Mountain,BEDROCK
3153,medium brown fine sand,SAND
3154,glacier,DRIFT
3155,"sandstone, soft",BEDROCK
3156,Pavement,FILL
3157,med sand fine gravel,SAND AND GRAVEL
3158,sand & pea gravel,SAND AND GRAVEL
3159,bad gravel,GRAVEL
3160,medium to coarse sand & gravel,SAND AND GRAVEL
3161,gravel with clay showing,GRAVEL WITH CLAY
3162,good gravel,GRAVEL
3163,med sand to fine gravel,SAND AND GRAVEL
3164,"Hard, gray silty clay (till)",CLAY
3165,sand & gravel & clay,CLAY AND GRAVEL
3166,"gray sand, gravel",SAND AND GRAVEL
3167,dirty sand and gravel,CLAY AND GRAVEL
3168,"sand, red, fine",SAND
3169,coarse blue sand,SAND
3170,Henry,CLAY AND SAND
3171,layered sand & gravelly clay,SAND WITH CLAY STREAKS
3172,brown silt clay,DIRT
3173,coarse sand & fine gravel,SAND AND GRAVEL
3174,white sand & gravel,SAND AND GRAVEL
3175,boulder at,BOULDER
3176,soft pan,DIRT
3177,gravel with gray clay,GRAVEL WITH CLAY
3178,gray sandy loam,DIRT
3179,silty brown clay,DIRT
3180,fractured rock,BEDROCK
3181,clay dark brown,CLAY
3182,Claypool,UNKNOWN
3183,sand & gravel w/clay,GRAVEL WITH CLAY
3184,gray very silty clay,DIRT
3185,water bearing gravel,GRAVEL
3186,gray firm clay,CLAY
3187,green soft shale,BEDROCK
3188,embedded clay,CLAY
3189,water gravel,GRAVEL
3190,"clay, soft",CLAY
3191,medium red sand,SAND
3192,gray limestone & shale,BEDROCK
3193,med sand & gravel,SAND AND GRAVEL
3194,gray clay hard,CLAY
3195,silt & clay,DIRT
3196,silty clay gray trace sand,CLAY WITH SAND
3197,very fine gray sand,SAND
3198,"gray sand, fine to coarse",SAND
3199,sand (fine),SAND
3200,Dark gray shale,BEDROCK
3201,"mud, blue",MUD
3202,hard white lime,BEDROCK
3203,sand - coarse; fine gravel,SAND AND GRAVEL
3204,Dirty sand fill.,FILL
3205,stiff pebbly gray clay till,CLAY WITH GRAVEL
3206,Unnamed Coal 403,BEDROCK
3207,firm brown clay,CLAY
3208,medium very moist grey silty clay A-6,DIRT
3209,"lime, shale",BEDROCK
3210,fine-medium sand & gravel,SAND AND GRAVEL
3211,white gravel,GRAVEL
3212,sandy tan clay,CLAY WITH SAND
3213,brown loam,DIRT
3214,McClosky A,BEDROCK
3215,sandstone and shale,BEDROCK
3216,lime gray hard,BEDROCK
3217,brownish clay,CLAY
3218,muddy sand & gravel,SAND AND GRAVEL
3219,light gray lime,BEDROCK
3220,Devonian - Silurian,BEDROCK
3221,sand & yellow clay,SAND AND CLAY
3222,Hard / very dense gray silty clay loam / silty loam,DIRT
3223,"sandstone, hard",BEDROCK
3224,gap,VOID
3225,sandy mud,MUD
3226,fine Sankoty sand,SAND
3227,"8"" thick concrete -pavement-",FILL
3228,very stiff pebbly gray silty clay till,CLAY WITH GRAVEL
3229,yellow sand gravel,GRAVEL WITH SAND
3230,gray silty shale,BEDROCK
3231,clay brown hard,CLAY
3232,brown fine to medium sand,SAND
3233,shale               ,BEDROCK
3234,medium to coarse gray sand,SAND
3235,Hard gray clay till,CLAY
3236,gray clay with sand,CLAY WITH SAND
3237,Hardpan,CLAY
3238,sandy gray clay with gravel,CLAY WITH GRAVEL
3239,gumbo,BEDROCK
3240,weathered shale,BEDROCK
3241,"shale, gray, soft",BEDROCK
3242,peat moss,ORGANIC MATERIAL
3243,blue clay w/gravel,CLAY WITH GRAVEL
3244,Concrete pavement,FILL
3245,y clay,CLAY
3246,very stiff gray silty clay till,CLAY
3247,"Tough gray silty clay, trace sand & pebbles",CLAY WITH GRAVEL
3248,sandy green clay,CLAY WITH SAND
3249,Niagara limestone,BEDROCK
3250,brown fill,FILL
3251,"stiff, gray clay",CLAY
3252,Stiff gray clay till,CLAY
3253,McClosky C,BEDROCK
